case,class,P0,P1,P2
825.png,2,0.079819694,0.3905401,0.5296402
826.png,2,0.0032241237,0.05384353,0.9429323
828.png,1,0.068947285,0.50294054,0.42811218
829.png,2,0.00089526357,0.04124271,0.957862
833.png,2,0.0007955584,0.031062482,0.9681419
834.png,2,0.010876712,0.33690256,0.6522208
838.png,2,0.07453397,0.3092246,0.61624146
840.png,1,0.08738116,0.91261864,1.8529073e-07
865.png,0,0.89323497,0.10676506,3.597005e-19
868.png,0,0.8744135,0.1255434,4.3075917e-05
871.png,2,0.02523493,0.1555655,0.8191995
878.png,0,0.8857868,0.11421321,3.890956e-09
882.png,2,0.0014800094,0.048729133,0.94979084
883.png,1,0.15535744,0.8413488,0.0032937808
884.png,2,0.0053609363,0.07888973,0.9157493
885.png,2,0.008158646,0.1262107,0.8656307
886.png,2,0.015190564,0.16011198,0.82469743
887.png,1,0.20373118,0.7863093,0.009959466
888.png,1,0.15315443,0.6789575,0.16788797
889.png,0,0.9010809,0.09873313,0.0001859763
890.png,2,0.0837164,0.42993096,0.48635268
891.png,2,0.08026935,0.30654618,0.6131845
892.png,1,0.14434423,0.46339992,0.39225578
893.png,1,0.2413467,0.65132475,0.10732855
894.png,2,0.017799767,0.18558152,0.79661876
895.png,0,0.8677567,0.13224329,3.6113084e-09
896.png,0,0.53318876,0.46670753,0.00010366597
897.png,1,0.072455,0.6586783,0.26886666
898.png,2,0.0014885693,0.04258561,0.95592576
899.png,0,0.8773333,0.122666724,1.0561202e-08
900.png,2,0.037465356,0.29620326,0.66633147
901.png,1,0.17498277,0.68719524,0.13782194
902.png,0,0.63774794,0.3621607,9.130787e-05
903.png,1,0.20831624,0.77252203,0.019161759
904.png,2,0.017594075,0.20840949,0.7739965
905.png,0,0.5551499,0.44140843,0.0034416812
906.png,2,0.026278784,0.39854425,0.57517695
907.png,2,0.003767267,0.07753545,0.91869724
908.png,2,0.009207298,0.105026275,0.8857664
909.png,2,0.05042382,0.2928964,0.6566798
910.png,0,0.7810049,0.21195431,0.0070408517
911.png,1,0.25836185,0.741637,1.1887138e-06
912.png,1,0.13698776,0.8535881,0.009424209
913.png,1,0.49936438,0.5006355,1.842007e-07
914.png,1,0.3626654,0.62059957,0.01673502
915.png,1,0.1504247,0.84841824,0.0011569951
916.png,1,0.27885902,0.7073164,0.013824586
917.png,1,0.44350865,0.53799456,0.018496761
918.png,1,0.09962901,0.7600714,0.14029957
919.png,0,0.8210038,0.17892128,7.482785e-05
920.png,1,0.17861821,0.81834495,0.0030367384
922.png,1,0.040611953,0.52415806,0.43523005
923.png,0,0.5457023,0.44684878,0.0074489275
924.png,1,0.31157732,0.68842244,1.5706298e-07
925.png,1,0.12963977,0.46774098,0.4026192
926.png,1,0.31635287,0.6117763,0.071870886
927.png,1,0.42865273,0.5713472,7.8811425e-08
928.png,2,0.022964908,0.22004184,0.7569933
929.png,2,0.0009918356,0.03397326,0.96503484
930.png,2,0.00055533065,0.022427043,0.97701764
931.png,2,0.00053801044,0.021501858,0.97796017
932.png,1,0.18892829,0.42202494,0.38904685
933.png,2,0.0016782288,0.049571108,0.9487507
934.png,2,0.011757781,0.11680069,0.87144154
935.png,0,0.7044824,0.29549757,1.9997446e-05
936.png,2,0.03453942,0.21760839,0.74785215
937.png,2,0.0077297245,0.101899825,0.8903704
939.png,2,0.05488463,0.34963518,0.5954802
940.png,1,0.12278675,0.5564325,0.3207808
941.png,2,0.00054103346,0.024448672,0.9750103
942.png,2,0.00038991065,0.023617532,0.97599256
943.png,2,0.00064244727,0.028327031,0.9710305
944.png,0,0.92324626,0.0705899,0.0061638677
945.png,2,0.030151095,0.22418205,0.74566686
946.png,1,0.38586628,0.61396164,0.00017212688
947.png,2,0.00031498825,0.018696863,0.98098814
948.png,0,0.91421056,0.08464765,0.0011418143
949.png,2,0.043771174,0.24263535,0.7135935
950.png,1,0.2815199,0.685648,0.032832153
951.png,2,0.0015032198,0.036485165,0.96201164
952.png,1,0.33841097,0.66149217,9.681786e-05
953.png,0,0.59049565,0.4093995,0.00010489063
954.png,0,0.94627196,0.05362413,0.00010392891
955.png,0,0.7526174,0.24655011,0.0008325294
956.png,2,0.007671768,0.11361215,0.8787161
957.png,2,0.0029180183,0.07160573,0.9254762
958.png,2,0.018709477,0.16779591,0.81349456
959.png,2,0.007845274,0.14520407,0.8469507
960.png,2,0.0024907086,0.074900985,0.9226084
961.png,1,0.120038815,0.5967986,0.2831626
962.png,2,0.0042333836,0.12796609,0.86780053
963.png,2,0.0018199651,0.06735496,0.9308251
964.png,1,0.10760185,0.69880676,0.19359133
965.png,2,0.0045833224,0.07089064,0.9245261
966.png,2,0.00031868968,0.016179882,0.9835014
967.png,1,0.12504095,0.52596843,0.34899065
968.png,2,0.010808066,0.13785829,0.8513337
969.png,2,0.017613538,0.2225443,0.75984216
970.png,2,0.0016615653,0.04691453,0.95142394
971.png,2,0.010264271,0.113273494,0.8764623
972.png,2,0.054581977,0.30872348,0.6366945
973.png,2,0.0014713217,0.041822698,0.9567059
974.png,2,0.0024626153,0.058875706,0.93866163
975.png,2,0.00026600092,0.015138081,0.98459595
976.png,2,0.00032278837,0.015664635,0.9840126
977.png,2,0.008454595,0.13402894,0.8575165
978.png,2,0.0013904554,0.045618266,0.9529913
979.png,2,0.0006620083,0.028440641,0.97089744
980.png,2,0.014404995,0.17664202,0.808953
981.png,2,0.00058084045,0.0224472,0.976972
982.png,2,0.00012080802,0.010689319,0.98918986
983.png,2,0.00829808,0.12017546,0.8715265
984.png,2,0.010993311,0.21357107,0.77543557
985.png,2,0.0235489,0.23381126,0.7426398
986.png,1,0.1610444,0.49152964,0.34742603
987.png,2,0.0027687757,0.05636847,0.9408627
988.png,2,0.10986087,0.41450384,0.47563532
989.png,2,0.011519634,0.12857671,0.8599037
990.png,2,0.006725995,0.10432002,0.888954
991.png,2,0.0057764803,0.09979542,0.894428
992.png,2,0.0020519237,0.04674187,0.95120627
993.png,1,0.12920661,0.5756725,0.2951208
994.png,0,0.6860407,0.31041554,0.0035438228
995.png,1,0.11776553,0.70536345,0.176871
996.png,1,0.21013352,0.62653077,0.16333568
997.png,0,0.6855659,0.3055606,0.00887354
998.png,2,0.007964404,0.13447832,0.85755724
999.png,1,0.18403803,0.46957964,0.34638235
1000.png,2,0.011884567,0.16251434,0.82560104
1001.png,1,0.06453752,0.76800525,0.16745725
1002.png,1,0.119839765,0.59869003,0.28147027
1003.png,2,0.116913326,0.30508807,0.5779986
1004.png,1,0.30281764,0.3744319,0.32275042
1005.png,1,0.15364404,0.6907724,0.15558355
1006.png,2,0.112534285,0.37895086,0.5085148
1007.png,2,0.025698507,0.20799105,0.76631045
1008.png,2,0.009590689,0.113615535,0.8767938
1009.png,1,0.25872165,0.64221406,0.09906419
1110.png,1,0.3227452,0.6772333,2.1550739e-05
1111.png,2,0.0070803687,0.11724894,0.8756707
1112.png,2,0.040081896,0.1999368,0.7599813
1113.png,1,0.23043025,0.5774744,0.19209535
1114.png,2,0.11856847,0.3599392,0.5214923
1115.png,1,0.04712453,0.5849502,0.36792526
1116.png,0,0.592816,0.40714672,3.7255882e-05
1117.png,1,0.101959474,0.6282225,0.26981804
1118.png,2,0.010206309,0.17537001,0.8144237
1119.png,2,0.024416424,0.17321429,0.8023693
1121.png,2,0.031411275,0.19607556,0.7725132
1122.png,2,0.00090469536,0.033398226,0.9656971
1123.png,2,0.0005904176,0.03136388,0.9680457
1124.png,0,0.54628944,0.45321304,0.0004974607
1125.png,2,0.00084588426,0.03342828,0.9657258
1126.png,2,0.0012760267,0.03893541,0.9597886
1128.png,2,0.00048919045,0.019593684,0.9799171
1130.png,0,0.6366183,0.36336204,1.9635261e-05
1131.png,0,0.67098737,0.32565123,0.0033614477
1132.png,1,0.2139363,0.5840864,0.20197725
1133.png,1,0.31521142,0.5382332,0.14655542
1134.png,0,0.6890783,0.29064664,0.020275079
1135.png,2,0.0042671347,0.10402768,0.8917052
1136.png,2,0.007559406,0.100288846,0.8921517
1137.png,2,0.0012370091,0.03651374,0.9622493
1138.png,2,0.0017103442,0.046530753,0.9517589
1139.png,1,0.41892615,0.47670183,0.104372
1140.png,1,0.2524361,0.47770247,0.26986152
1141.png,2,0.07272757,0.31056198,0.6167105
1142.png,2,0.016350385,0.15021682,0.8334328
1143.png,0,0.8092991,0.17630525,0.014395656
1144.png,2,0.0059637167,0.08685994,0.9071764
1145.png,1,0.27198854,0.48550084,0.24251063
1146.png,1,0.11622105,0.5985335,0.2852455
1147.png,1,0.16235355,0.5402848,0.29736164
1148.png,0,0.8870147,0.11295403,3.128716e-05
1149.png,1,0.4482318,0.5502989,0.0014693451
1150.png,2,0.004939393,0.068715766,0.9263448
1151.png,2,0.004949479,0.08127405,0.9137765
1152.png,2,0.024611866,0.24874718,0.726641
1153.png,2,0.028112194,0.21126284,0.76062506
1154.png,2,0.0010865155,0.028374141,0.97053933
1155.png,0,0.92655927,0.073437974,2.7802273e-06
1156.png,1,0.47776625,0.47795275,0.044281017
1157.png,2,0.009070293,0.15795434,0.8329754
1158.png,2,0.00096140953,0.035018243,0.9640203
1159.png,1,0.15594946,0.47270495,0.37134564
1160.png,1,0.19410361,0.5393424,0.266554
1161.png,0,0.9834499,0.01654966,5.0173725e-07
1162.png,2,0.0003619511,0.019632112,0.980006
1163.png,2,0.0069619045,0.11372072,0.8793173
1164.png,1,0.13547397,0.60224754,0.26227856
1165.png,1,0.13743168,0.67681026,0.18575802
1166.png,2,0.0031742724,0.0654606,0.9313651
1167.png,0,0.73184127,0.26753023,0.0006285963
1168.png,1,0.23446177,0.6141067,0.15143146
1169.png,2,0.019532138,0.18498404,0.79548377
1170.png,2,0.002940656,0.051322576,0.9457368
1171.png,2,0.022862962,0.19799536,0.7791416
1172.png,2,0.024490742,0.35084444,0.6246648
1173.png,2,0.028408835,0.20439424,0.76719695
1174.png,2,0.0057198713,0.090677194,0.90360296
1175.png,2,0.022386564,0.18905774,0.7885557
1176.png,2,0.0010055484,0.038940437,0.960054
1177.png,1,0.36451733,0.5941464,0.041336235
1178.png,1,0.4326243,0.44020447,0.12717117
1179.png,2,0.008031834,0.105486624,0.8864815
1180.png,2,0.055441532,0.24057683,0.70398164
1181.png,2,0.00062195305,0.028629849,0.9707482
1182.png,2,0.0004455842,0.021023108,0.97853124
1183.png,2,0.0010886573,0.036333464,0.9625779
1184.png,2,0.0018617491,0.044785872,0.9533524
1185.png,2,0.03140461,0.2430746,0.7255208
1186.png,1,0.12798958,0.6615695,0.21044087
1187.png,2,0.0064341878,0.15022326,0.8433426
1188.png,2,0.0005335368,0.025171831,0.97429466
1189.png,2,0.0009953236,0.03581973,0.96318495
1190.png,2,0.011345636,0.14255159,0.8461028
1191.png,0,0.9994272,0.0005728878,3.2309266e-11
1192.png,2,0.008097907,0.12478803,0.86711407
1193.png,2,0.01119447,0.21385886,0.7749467
1194.png,2,0.00060460734,0.02837362,0.97102183
1195.png,2,0.0054271193,0.13441192,0.86016095
1196.png,2,0.0005757804,0.026334994,0.9730892
1197.png,2,0.00067215844,0.026511693,0.9728161
1198.png,2,0.0179425,0.20814507,0.77391243
1199.png,2,0.0024215446,0.055640876,0.9419376
1200.png,2,0.0020345529,0.054906227,0.9430592
1201.png,2,0.013057578,0.13987316,0.84706926
1202.png,2,0.0019380153,0.05545858,0.94260347
1203.png,2,0.0037289578,0.077201,0.91907007
1204.png,2,0.024100602,0.20060337,0.775296
1205.png,2,0.0017279086,0.046910234,0.95136184
1206.png,0,0.55814314,0.3990576,0.042799346
1207.png,2,0.051766396,0.3158999,0.6323337
1208.png,2,0.044946626,0.3861192,0.5689342
1209.png,2,0.0025830804,0.05944816,0.93796873
1210.png,2,0.0037180174,0.08676868,0.90951335
1211.png,2,2.9772564e-05,0.0049042236,0.9950659
1212.png,2,0.0053914688,0.09447661,0.9001319
1213.png,2,0.003294487,0.066583365,0.93012214
1214.png,2,0.013114951,0.11804672,0.8688383
1215.png,2,0.013238216,0.20756696,0.77919483
1216.png,2,0.0514134,0.470842,0.47774458
1217.png,2,0.008725538,0.120478846,0.87079567
1218.png,2,0.0010010636,0.030660635,0.96833825
1219.png,1,0.08293364,0.4878558,0.42921063
1220.png,1,0.4398762,0.5241179,0.036005847
1221.png,2,0.0016977577,0.05970526,0.93859696
1222.png,2,0.036961433,0.26964572,0.6933929
1223.png,2,0.022743741,0.24403808,0.7332182
1224.png,2,0.026586352,0.30015892,0.6732547
1225.png,2,0.0020959494,0.051799323,0.9461047
1226.png,2,0.0031157401,0.073532425,0.9233518
1227.png,2,0.025811037,0.18345328,0.79073566
1228.png,2,0.008146653,0.18837826,0.80347514
1229.png,0,0.98810136,0.011898692,1.7881533e-18
1230.png,0,0.7493738,0.25040692,0.00021929451
1231.png,0,0.874185,0.12580922,5.7559523e-06
1232.png,2,0.020874182,0.20405343,0.77507234
1233.png,1,0.27012348,0.4617764,0.2681001
1234.png,2,0.0032996896,0.09456678,0.9021336
1235.png,2,0.003085559,0.0840908,0.9128236
1236.png,2,9.413499e-05,0.0106907245,0.9892152
1237.png,2,0.09010127,0.43100178,0.4788969
1238.png,2,0.0051726503,0.08418687,0.9106405
1239.png,2,0.008343754,0.09397582,0.8976804
1240.png,2,0.0011593166,0.045020796,0.9538198
1241.png,2,0.0013162526,0.044058856,0.9546249
1242.png,2,8.114575e-05,0.007899367,0.9920195
1243.png,1,0.19498819,0.7109792,0.0940326
1244.png,2,0.0070628035,0.115265444,0.8776718
1245.png,2,0.004423957,0.101079024,0.894497
1246.png,0,0.907438,0.092562065,8.899957e-11
1247.png,0,0.9476431,0.052268106,8.8814384e-05
1248.png,2,0.020004397,0.24187343,0.73812217
1249.png,2,0.0016623863,0.04168384,0.9566538
1250.png,0,0.66158664,0.33817038,0.00024301499
1251.png,2,0.0145893,0.1589364,0.82647437
1252.png,2,0.0061044497,0.14618942,0.8477061
1253.png,1,0.38698202,0.5727775,0.04024044
1254.png,2,0.00031563992,0.017750701,0.98193365
1255.png,1,0.14723194,0.6843789,0.16838916
1256.png,2,0.001484189,0.050657403,0.94785845
1257.png,2,0.002194612,0.046125248,0.9516801
1258.png,2,0.017443832,0.19223668,0.79031956
1259.png,1,0.1919752,0.48724642,0.32077834
1260.png,1,0.022176674,0.96770984,0.010113517
1261.png,2,0.0015285263,0.047348645,0.95112276
1262.png,2,0.00085283385,0.02945094,0.96969616
1263.png,2,0.018844271,0.19405814,0.78709763
1264.png,1,0.108204566,0.89109755,0.0006979565
1265.png,2,0.0055617467,0.093392715,0.90104556
1266.png,2,0.00165062,0.050911322,0.94743806
1267.png,0,0.737529,0.26247102,1.893903e-09
1268.png,1,0.092114024,0.6031306,0.30475533
1269.png,1,0.16071342,0.8392296,5.7023943e-05
1270.png,0,0.60680777,0.39282104,0.00037117122
1271.png,2,0.0009312613,0.029983977,0.96908474
1272.png,2,0.0013144952,0.040539015,0.9581465
1273.png,2,0.00211369,0.081130564,0.9167557
1274.png,2,0.0005757629,0.023936816,0.97548735
1275.png,2,0.0005560919,0.024049578,0.97539437
1276.png,2,0.002777556,0.08324622,0.9139762
1277.png,2,0.0023929882,0.0562845,0.9413225
1278.png,2,0.0151360165,0.20002031,0.7848437
1279.png,1,0.26251715,0.7374722,1.0677914e-05
1280.png,2,0.00043600876,0.023269955,0.976294
1281.png,2,0.0006752882,0.037806336,0.96151835
1282.png,2,0.0025802613,0.06765269,0.92976713
1283.png,1,0.13835402,0.8615028,0.00014312833
1284.png,0,0.51134264,0.48865733,3.6271114e-08
1285.png,1,0.08653293,0.5008541,0.41261294
1286.png,0,0.9950132,0.0049867514,5.1281527e-13
1287.png,2,0.017042428,0.14798969,0.83496785
1288.png,2,0.0012934554,0.03911267,0.95959383
1289.png,1,0.2649267,0.7153505,0.019722708
1290.png,2,0.0067624818,0.11518261,0.8780549
1291.png,2,0.010459867,0.13474622,0.8547939
1292.png,2,0.0008061271,0.031810813,0.967383
1293.png,2,0.0008451829,0.029231507,0.9699233
1294.png,2,0.00042468365,0.022732073,0.97684324
1295.png,2,0.008147822,0.14046691,0.8513853
1296.png,2,5.7815094e-05,0.0069725947,0.9929696
1297.png,0,0.49577093,0.47312278,0.031106208
1298.png,2,0.004483376,0.10432974,0.89118683
1299.png,2,0.0015109626,0.050585795,0.9479032
1300.png,2,0.0062581515,0.15395688,0.839785
1301.png,2,0.0005155434,0.026085084,0.9733994
1302.png,2,0.09885593,0.42804754,0.4730965
1303.png,1,0.17586046,0.74477553,0.07936399
1304.png,2,0.01159504,0.18906213,0.7993428
1305.png,1,0.4615445,0.5384041,5.1447827e-05
1306.png,1,0.07742027,0.9223984,0.00018136694
1307.png,2,0.015976619,0.20392756,0.7800958
1308.png,2,0.0001448909,0.0108422125,0.98901296
1309.png,1,0.18851723,0.5098896,0.3015932
1310.png,1,0.075160965,0.70139235,0.22344677
1311.png,0,0.5157375,0.4841699,9.267607e-05
1312.png,2,0.016438087,0.21025409,0.7733078
