case,class,P0,P1,P2
911.png,1,0.13398069,0.49974608,0.36627316
912.png,1,0.26399502,0.6118142,0.12419083
913.png,1,0.13615426,0.68681425,0.17703149
914.png,0,0.65649736,0.34117407,0.0023286794
915.png,1,0.124805935,0.61036605,0.26482803
916.png,1,0.32692558,0.59580123,0.077273205
917.png,1,0.22068729,0.6080576,0.17125507
918.png,0,0.51795626,0.39168584,0.0903579
919.png,0,0.80190426,0.19244121,0.005654614
920.png,1,0.1774063,0.56347656,0.25911716
922.png,0,0.96699256,0.031729832,0.0012776279
923.png,0,0.5534399,0.4317483,0.0148118185
924.png,0,0.8813737,0.1119775,0.006648771
925.png,1,0.081476666,0.6748308,0.24369252
926.png,1,0.29359603,0.6509822,0.05542177
927.png,0,0.91054934,0.088536836,0.00091389427
928.png,2,0.017203907,0.23719397,0.7456021
929.png,2,0.0012060234,0.063227765,0.9355662
930.png,2,0.0012688965,0.082735874,0.9159952
931.png,2,0.0015314636,0.091809645,0.90665895
932.png,0,0.46755046,0.44695142,0.085498154
933.png,2,0.0007122581,0.05173076,0.947557
934.png,2,0.004674799,0.15516691,0.84015834
935.png,0,0.75503635,0.24380429,0.0011592618
936.png,2,0.04776876,0.28822318,0.6640081
937.png,2,0.0021299662,0.09364001,0.90423006
939.png,2,0.033006717,0.3568943,0.610099
940.png,0,0.66876215,0.3194131,0.011824724
941.png,2,0.018352369,0.37198487,0.6096628
942.png,2,0.00044994318,0.042722482,0.9568276
943.png,2,0.0013291033,0.0625711,0.93609977
944.png,2,0.0037722278,0.115965866,0.8802619
945.png,1,0.12197013,0.4497222,0.42830765
946.png,0,0.85290545,0.13195513,0.015139549
947.png,2,0.0007369606,0.05101153,0.9482515
948.png,1,0.05940885,0.61812484,0.32246628
949.png,1,0.065950386,0.51949793,0.41455176
950.png,0,0.51680297,0.27052858,0.21266848
951.png,2,0.016661476,0.252223,0.7311155
952.png,0,0.9814402,0.018537756,2.2031298e-05
953.png,0,0.9560869,0.04231469,0.0015983484
954.png,2,0.31429732,0.326521,0.3591817
955.png,0,0.62896925,0.2596382,0.11139261
956.png,2,0.00044545473,0.04233061,0.95722395
957.png,2,0.0013720908,0.07346947,0.9251585
958.png,2,0.017899655,0.29687354,0.6852268
959.png,2,0.00085302274,0.05656306,0.942584
960.png,2,0.001108521,0.0788855,0.920006
961.png,0,0.54224604,0.29516292,0.16259103
962.png,2,0.0004742324,0.041376706,0.958149
963.png,2,0.0042159026,0.14140065,0.8543834
964.png,2,0.016716577,0.30199644,0.68128693
965.png,2,0.0061782044,0.17189817,0.8219236
966.png,2,0.00058085,0.049743276,0.9496759
967.png,2,0.024822177,0.41033074,0.5648471
968.png,2,0.005186226,0.17299806,0.82181567
969.png,2,0.004809458,0.17400724,0.82118326
970.png,2,0.0011299831,0.07447278,0.92439723
971.png,2,0.015990207,0.28432786,0.6996819
972.png,1,0.10626755,0.53847814,0.35525444
973.png,2,0.0011787842,0.080473565,0.91834766
974.png,2,0.001680112,0.12352254,0.8747973
975.png,2,0.0004986279,0.05426754,0.9452338
976.png,2,0.0010144005,0.08076499,0.9182206
977.png,2,0.0015757061,0.08209338,0.9163309
978.png,2,0.0005330267,0.043856435,0.9556105
979.png,2,0.00041756453,0.041240185,0.9583422
980.png,2,0.0010828396,0.06449756,0.9344196
981.png,2,0.0005726445,0.04797062,0.9514568
982.png,2,0.0015666327,0.07941184,0.91902155
983.png,2,0.008031634,0.2750238,0.7169446
984.png,2,0.00253925,0.10702614,0.8904346
985.png,2,0.0075620334,0.23841229,0.7540257
986.png,1,0.3837999,0.51197565,0.10422447
987.png,2,0.0015766427,0.091027714,0.90739566
988.png,2,0.0015414731,0.07805245,0.9204061
989.png,2,0.0024225363,0.10096482,0.8966126
990.png,2,0.015881723,0.29684773,0.6872705
991.png,2,0.0043777083,0.14934978,0.8462725
992.png,2,0.0037915874,0.14790237,0.848306
993.png,1,0.38536674,0.4809108,0.13372251
994.png,0,0.762475,0.2224243,0.015100723
995.png,1,0.25247368,0.58352005,0.16400622
996.png,1,0.15076233,0.6227394,0.22649838
997.png,1,0.4339206,0.44813362,0.117945746
998.png,0,0.42049915,0.39972433,0.17977656
999.png,1,0.05427748,0.47726494,0.46845755
1000.png,1,0.0776038,0.5347012,0.38769493
1001.png,2,0.000846987,0.07805683,0.92109615
1002.png,2,0.0063185785,0.18758191,0.80609953
1003.png,2,0.010072274,0.2620783,0.7278495
1004.png,1,0.08127779,0.5167401,0.40198213
1005.png,1,0.14696904,0.5930586,0.2599724
1006.png,2,0.07360596,0.41477233,0.5116217
1007.png,2,0.0015368116,0.066234335,0.9322288
1008.png,2,0.00091285486,0.05930028,0.93978685
1009.png,1,0.09692664,0.53544146,0.36763194
1110.png,0,0.59084594,0.37493876,0.034215275
1111.png,2,0.006584028,0.1641972,0.82921875
1112.png,2,0.0028475178,0.125886,0.8712665
1113.png,2,0.017486528,0.33229783,0.6502157
1114.png,2,0.0008902457,0.057569694,0.94154006
1115.png,1,0.4666763,0.47069147,0.062632225
1116.png,1,0.35412845,0.51615363,0.1297179
1117.png,2,0.008617433,0.20758636,0.78379613
1118.png,2,0.00040942366,0.042252246,0.95733833
1119.png,2,0.02832638,0.32688615,0.6447874
1121.png,2,0.0060988558,0.13177808,0.862123
1122.png,2,0.0018659792,0.0784248,0.9197092
1123.png,2,0.019790703,0.32526794,0.6549413
1124.png,0,0.6673432,0.31385362,0.018803192
1125.png,2,0.00090739364,0.064372405,0.93472016
1126.png,2,0.00047549355,0.040798437,0.9587261
1128.png,2,0.0010602518,0.06178739,0.9371523
1130.png,0,0.9987117,0.0012269529,6.13637e-05
1131.png,0,0.9911731,0.008557077,0.0002698945
1132.png,2,0.043010857,0.41471943,0.54226965
1133.png,2,0.04763587,0.37646624,0.5758979
1134.png,0,0.7635634,0.20087434,0.035562336
1135.png,2,0.0004683362,0.046919394,0.9526122
1136.png,2,0.0033449584,0.12386073,0.87279433
1137.png,2,0.0006686834,0.051807992,0.94752336
1138.png,2,0.0017371646,0.07226044,0.92600244
1139.png,1,0.11584964,0.59771335,0.28643695
1140.png,1,0.08101499,0.72198254,0.19700253
1141.png,2,0.0046277465,0.14588526,0.849487
1142.png,2,0.0022221978,0.09978003,0.8979978
1143.png,0,0.67847586,0.3052063,0.01631783
1144.png,2,0.020704687,0.3565589,0.6227364
1145.png,0,0.74077946,0.21998337,0.039237183
1146.png,2,0.011956074,0.3428652,0.64517874
1147.png,1,0.06982579,0.6655879,0.2645863
1148.png,0,0.8925596,0.10224225,0.0051981844
1149.png,0,0.4917653,0.43733603,0.07089861
1150.png,2,0.0008541528,0.05297942,0.9461664
1151.png,2,0.0005477181,0.04849098,0.95096123
1152.png,2,0.0008345845,0.07297476,0.9261907
1153.png,2,0.0012846249,0.07542106,0.9232943
1154.png,2,0.00063471065,0.049533356,0.94983196
1155.png,0,0.63938403,0.3242883,0.036327668
1156.png,1,0.078269996,0.63599175,0.2857382
1157.png,2,0.003447374,0.13575473,0.8607979
1158.png,2,0.0011875579,0.06513544,0.933677
1159.png,0,0.78982544,0.12933888,0.08083571
1160.png,0,0.5082501,0.42025894,0.071490996
1161.png,0,0.8846225,0.10634515,0.009032292
1162.png,2,0.002810246,0.14289172,0.85429806
1163.png,2,0.00065131503,0.046642173,0.9527066
1164.png,1,0.054940403,0.49909037,0.44596925
1165.png,0,0.54741955,0.37766862,0.074911825
1166.png,2,0.005299235,0.1564578,0.838243
1167.png,0,0.714519,0.26505104,0.020429913
1168.png,1,0.27313754,0.56872475,0.15813775
1169.png,2,0.006022334,0.15189287,0.8420848
1170.png,2,0.0010849017,0.06531676,0.93359834
1171.png,1,0.12002289,0.5903562,0.28962088
1172.png,1,0.24106139,0.5994489,0.15948968
1173.png,2,0.001909998,0.08022,0.9178699
1174.png,2,0.0038774458,0.12836352,0.8677591
1175.png,2,0.0017470396,0.08558054,0.91267246
1176.png,1,0.15733835,0.7140779,0.1285838
1177.png,0,0.4574325,0.43660167,0.105965845
1178.png,0,0.99670213,0.0030020382,0.0002958218
1179.png,2,0.0014284407,0.06400449,0.9345671
1180.png,2,0.015597975,0.25924274,0.7251593
1181.png,2,0.00026913913,0.0313703,0.96836054
1182.png,2,0.00090410106,0.05470077,0.9443952
1183.png,2,0.0045421813,0.13879432,0.85666347
1184.png,2,0.0032077872,0.13281302,0.86397916
1185.png,2,0.010417436,0.20741747,0.7821651
1186.png,2,0.007239143,0.15887159,0.8338893
1187.png,2,0.0025942104,0.10126762,0.8961382
1188.png,2,0.00054234645,0.047746517,0.95171106
1189.png,2,0.0015946026,0.08337814,0.9150272
1190.png,2,0.035800308,0.41251132,0.5516884
1191.png,0,1.0,6.873363e-09,1.4344827e-10
1192.png,2,0.0036353366,0.09972511,0.8966395
1193.png,2,0.0007460908,0.048433457,0.9508205
1194.png,2,0.008202042,0.17623101,0.8155669
1195.png,2,0.0013970288,0.064197905,0.934405
1196.png,2,0.0015678874,0.08430084,0.9141313
1197.png,2,0.00033044664,0.03710967,0.9625598
1198.png,2,0.002570848,0.09829929,0.8991298
1199.png,2,0.006049895,0.17401767,0.8199325
1200.png,2,0.003954318,0.12276438,0.87328124
1201.png,2,0.0023443673,0.107128546,0.89052707
1202.png,2,0.0057772766,0.16992538,0.82429737
1203.png,2,0.00080212514,0.052996513,0.9462014
1204.png,2,0.0019521838,0.08329095,0.9147569
1205.png,2,0.0012090699,0.066391364,0.9323996
1206.png,1,0.12990762,0.47645307,0.39363933
1207.png,2,0.17588006,0.38038632,0.4437336
1208.png,1,0.2142077,0.5957041,0.19008823
1209.png,2,0.0022633453,0.0969813,0.9007553
1210.png,2,0.013524896,0.26887158,0.7176035
1211.png,2,0.00040791763,0.046110407,0.9534817
1212.png,2,0.015853906,0.34388754,0.6402586
1213.png,2,0.009879685,0.2668285,0.7232918
1214.png,1,0.16497652,0.56171525,0.2733082
1215.png,1,0.31169912,0.54067415,0.14762673
1216.png,0,0.4124687,0.33286238,0.25466886
1217.png,2,0.0073535135,0.19765663,0.79498994
1218.png,2,0.00020492086,0.03015427,0.9696408
1219.png,1,0.2680486,0.5473315,0.18461986
1220.png,0,0.95198566,0.04663693,0.0013774779
1221.png,2,0.0014516785,0.08169696,0.9168514
1222.png,1,0.10614211,0.5548774,0.33898044
1223.png,1,0.39390087,0.4613052,0.14479387
1224.png,2,0.0417288,0.34633258,0.61193866
1225.png,2,0.00062491855,0.04978236,0.9495927
1226.png,2,0.021789452,0.21768932,0.7605212
1227.png,2,0.0140304435,0.2747775,0.7111921
1228.png,1,0.1957085,0.4094007,0.3948908
1229.png,0,1.0,4.5528038e-15,3.404976e-13
1230.png,0,0.9941936,0.0057891696,1.7185423e-05
1231.png,0,0.999619,0.00038087845,1.6082552e-07
1232.png,2,0.00984942,0.20142636,0.7887242
1233.png,2,0.0041506705,0.1861465,0.8097028
1234.png,1,0.10647199,0.64013046,0.25339758
1235.png,1,0.33485264,0.6163496,0.048797674
1236.png,2,0.0013654623,0.087187,0.9114476
1237.png,1,0.3787403,0.56354094,0.05771876
1238.png,1,0.04926025,0.54406166,0.40667805
1239.png,2,0.07824933,0.29836303,0.62338763
1240.png,2,0.002698763,0.095295265,0.90200603
1241.png,2,0.00089778594,0.061143957,0.93795824
1242.png,2,0.000849272,0.064788796,0.93436193
1243.png,0,0.8900242,0.10588507,0.004090715
1244.png,1,0.17475767,0.5382968,0.2869455
1245.png,2,0.001284027,0.06488757,0.9338285
1246.png,0,1.0,8.042825e-10,2.8516085e-09
1247.png,0,0.99791855,0.0020686195,1.2866812e-05
1248.png,1,0.059043627,0.5544167,0.38653964
1249.png,2,0.00093964173,0.07669521,0.9223652
1250.png,0,0.99952924,0.000461586,9.184392e-06
1251.png,2,0.0033055008,0.12125897,0.87543553
1252.png,1,0.12546788,0.5694579,0.30507424
1253.png,0,0.60353464,0.30095744,0.095507815
1254.png,2,0.001543637,0.07591665,0.9225398
1255.png,0,0.94710237,0.039494008,0.0134035405
1256.png,2,0.0007288271,0.05051406,0.9487572
1257.png,2,0.0011788155,0.0670129,0.9318083
1258.png,1,0.097120665,0.5780087,0.3248706
1259.png,1,0.2519368,0.5917203,0.15634295
1260.png,1,0.30208313,0.5423021,0.1556148
1261.png,2,0.026176184,0.42177275,0.552051
1262.png,2,0.0012514913,0.079973124,0.9187753
1263.png,2,0.0073867473,0.17455749,0.81805575
1264.png,0,0.987122,0.00941265,0.0034653288
1265.png,2,0.011586923,0.228666,0.759747
1266.png,2,0.0008828055,0.05581227,0.94330496
1267.png,0,0.9999689,3.0278698e-05,8.207261e-07
1268.png,1,0.11083497,0.5850942,0.3040709
1269.png,0,0.65422493,0.30794603,0.03782909
1270.png,1,0.39141357,0.50215095,0.10643548
1271.png,2,0.0025992119,0.11414983,0.88325095
1272.png,2,0.0013484473,0.08548341,0.91316813
1273.png,2,0.022834418,0.35657552,0.6205901
1274.png,2,0.00054060575,0.046834636,0.9526248
1275.png,2,0.0014884807,0.09226893,0.90624255
1276.png,2,0.0004673461,0.048604164,0.9509285
1277.png,2,0.0025965418,0.106161356,0.89124215
1278.png,2,0.0005908608,0.052902453,0.94650674
1279.png,0,0.89579743,0.100442424,0.003760162
1280.png,2,0.006920506,0.21351692,0.7795626
1281.png,2,0.044951808,0.4342857,0.52076244
1282.png,2,0.008317938,0.17533095,0.81635106
1283.png,0,0.9958702,0.0036557033,0.0004741977
1284.png,0,0.9998497,0.00014835729,1.8516561e-06
1285.png,2,0.05078369,0.39649,0.55272627
1286.png,0,0.999998,2.0736409e-06,8.72191e-11
1287.png,2,0.0075525204,0.16370264,0.8287448
1288.png,2,0.0027164356,0.12904863,0.86823493
1289.png,1,0.22926857,0.7156909,0.055040564
1290.png,2,0.003147982,0.13894294,0.85790914
1291.png,2,0.022089036,0.32707572,0.6508352
1292.png,2,0.008044333,0.19198479,0.79997087
1293.png,2,0.00044397422,0.048372403,0.9511836
1294.png,2,0.00074937113,0.053236358,0.9460142
1295.png,2,0.0010407596,0.061549857,0.93740934
1296.png,2,0.001968659,0.09729555,0.90073574
1297.png,1,0.095665365,0.6615432,0.24279141
1298.png,2,0.005218778,0.12536348,0.8694177
1299.png,2,0.008215514,0.17864591,0.8131386
1300.png,2,0.023745934,0.40132678,0.57492733
1301.png,2,0.0016120285,0.068507254,0.9298807
1302.png,1,0.12208328,0.61632264,0.26159406
1303.png,0,0.70059806,0.25641245,0.042989418
1304.png,2,0.0012141224,0.08069627,0.9180896
1305.png,0,0.7948369,0.1635194,0.04164375
1306.png,0,0.93153626,0.062991865,0.005471873
1307.png,2,0.002459629,0.11596746,0.8815729
1308.png,2,0.0029195964,0.13223217,0.86484826
1309.png,0,0.90422225,0.08762489,0.008152871
1310.png,1,0.043516073,0.62833726,0.32814658
1311.png,0,0.723097,0.2631107,0.013792338
1312.png,2,0.015625091,0.40525785,0.57911706
